Table,OMIM gene,OMIM gene name,Maximum carrier frequency,OMIM phenotype,Conditions,Published carrier frequency,Rationale for inclusion,Ethnic group
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,606718,SLC26A2,0.004715,226900,Epiphyseal dysplasia multiple 4,,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,606718,SLC26A2,0.004715,600972,Achondrogenesis Ib,,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,236200,CBS,0.004676,236200,"Homocystinuria, B6 responsive and nonresponsive",,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,600073,LRP2,0.004676,222448,Donnai–Barrow syndrome,,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,252800,IDUA,0.004675,607014,"Mucopolysaccharidosis, Ih (Hurler S)",,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,252800,IDUA,0.004675,607015,"Mucopolysaccharidosis, Ih/s (Hurler–Scheie S)",,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,606596,FKRP,0.004668,613153,"Muscular dystrophy–dystroglycanopathy, type A, 5",,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,606596,FKRP,0.004668,606612,"Muscular dystrophy–dystroglycanopathy, type B, 5",,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,610326,RNASEH2B,0.004609,610181,Aicardi Goutieres syndrome 2,,,
Table 4. Autosomal recessive genes for screening with carrier frequency <1/150 to ≥1/200.,611524,RARS2,0.004592,611523,Pontocerebellar hypoplasia type 6,,,
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,141800,HBA1,,604131,ɑ-Thalassemia,U,Carrier frequency,SEA and others
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,141850,HBA2,,604131,ɑ-Thalassemia,U,Carrier frequency,SEA and others
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,600354,SMN1,,253300,,1/60,ACOG/ACMG and carrier frequency,US panethnic
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,600354,SMN1,,253550,Spinal muscular,1/60,ACOG/ACMG and carrier frequency,US panethnic
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,600354,SMN1,,253400,"atrophy types: I, II, III, IV",1/60,ACOG/ACMG and carrier frequency,US panethnic
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,600354,SMN1,,271150,,1/60,ACOG/ACMG and carrier frequency,US panethnic
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,604982,HPS1,,203300,Hermansky Pudlak S. 1,1/59,Carrier frequency,PR
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,606118,HPS3,,614072,Hermansky Pudlak S. 3,1/59,Carrier frequency,PR
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,603722,ELP1,,223900,Familial dysautonomia,1/32,ACOG/ACMG and carrier frequency,AJ
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,606829,FXN,,229300,Friedreich ataxia,1/60–1/100,Carrier frequency,Caucasians
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,238331,DLD,,246900,Dihydrolipoamide dehydrogenase deficiency,~1/100,Carrier frequency,AJ
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,161650,NEB,,256030,Nemaline myopathy 2,1/168,Carrier frequency,AJ
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,606397,CLRN1,,276902,Usher syndrome 3a,1/120,Carrier frequency,AJ
Table 5. Genes that were ascertained for screening outside of the gnomAD criteria.,604610,BLM,,210900,Bloom syndrome,1/100,ACMG and carrier frequency,AJ
Table 6. X-linked genes recommended for carrier screening.,300371,ABCD1,,300100,Adrenoleukodystrophy (ALD),,,
Table 6. X-linked genes recommended for carrier screening.,300806,AFF2,,309548,"Mental retardation, X-linked, associated with fragile site FRAXE",,,
Table 6. X-linked genes recommended for carrier screening.,300382,ARX,,308350,Developmental and epileptic encephalopathy 1 (DEE1),,,
Table 6. X-linked genes recommended for carrier screening.,300377,DMD,,300376,"Muscular dystrophy, Becker type (BMD)",,,
Table 6. X-linked genes recommended for carrier screening.,300377,DMD,,310200,"Muscular dystrophy, Duchenne type (DMD)",,,
Table 6. X-linked genes recommended for carrier screening.,306700,F8,,300841,Hemophilia A (HEMA),,,
Table 6. X-linked genes recommended for carrier screening.,300746,F9,,306900,Hemophilia B (HEMB),,,
Table 6. X-linked genes recommended for carrier screening.,309550,FMR1,,300624,Fragile X syndrome (FXS),,,
Table 6. X-linked genes recommended for carrier screening.,300644,GLA,,301500,Fabry disease,,,
Table 6. X-linked genes recommended for carrier screening.,308840,L1CAM,,307000,Hydrocephalus due to congenital stenosis of aqueduct of Sylvius (HSAS),,,
Table 6. X-linked genes recommended for carrier screening.,300552,MID1,,300000,"Opitz GBBB syndrome, type I (GBBB1)",,,
Table 6. X-linked genes recommended for carrier screening.,300473,NR0B1,,300200,"Adrenal hypoplasia, congenital (AHC)",,,
Table 6. X-linked genes recommended for carrier screening.,300461,OTC,,311250,Ornithine transcarbamylase deficiency,,,
Table 6. X-linked genes recommended for carrier screening.,300401,PLP1,,312920,"Spastic paraplegia 2, X-linked (SPG2)",,,
Table 6. X-linked genes recommended for carrier screening.,312610,RPGR,,300029,Retinitis pigmentosa 3 (RP3; RP),,,
Table 6. X-linked genes recommended for carrier screening.,312610,RPGR,,300455,"Retinitis pigmentosa, X-linked, and sinorespiratory",,,
Table 6. X-linked genes recommended for carrier screening.,312610,RPGR,,300834,"Infections, with or without deafness",,,
Table 6. X-linked genes recommended for carrier screening.,312610,RPGR,,300834,"Macular degeneration, X-linked atrophic",,,
Table 6. X-linked genes recommended for carrier screening.,300839,RS1,,312700,"Retinoschisis 1, X-linked, juvenile (RS1)",,,
Table 6. X-linked genes recommended for carrier screening.,300036,SLC6A8,,300352,Cerebral creatine deficiency syndrome 1 (CCDS1),,,
